Cleaned_Review,Sentiment
i bought this phone as a replacement for the exact same phone i know this is refurbished but the battery life is of my previous phone and when im on a phone call the calls sound very bad im actually very disappointed on this phones performance,Negative
bought phone june died already garbage,Negative
but within a couple of months they stopped working,Negative
replaced an aging motorolla g series with thus samsung battery life is not as good and samsung apps are a bit of a pain and are largely unrecoverable works well and seems to be bug free but well see how well it holds up,Neutral
the biggest problem is turning the yv on to often get a blank screen instead of the hdmi channel with my trusty roku on it the only thing i ever use the tv knows its there but upon choosing it repeatedly still blank the roku is on and responding to its remote it has its own flashing light still nothing and this is in my bedroom where i go when im tired grrr and i agree with the others the sound is subpar,Negative
i bought this phone to replace the same version it came completely dead which i thought was odd then after charging it for hours it only went up to battery then i picked it up and the phone was burning hot i have the same version of the phone already and i know it will charge in under an hour and never get hot like that its so much work to move all the apps and change everything over im beyond angry,Negative
if youve never purchased an unlocked phone make you have a sim card to use in this case i didnt have one that would work for this phone it took far longer than it should have to get it activated it wasnt the phone it was the different carriers i went to both complained that unlocked phones could be tricky etc it wasnt that it was the lack of support knowledge which transferred when i called my carriers customer service thankfully i finally got it activated its an awesome phone,Positive
im not impressed at all with this tv color isnt that great and is not easy to use a lot more steps to get into different apps wish the remote was laid out better,Negative
i originally bought this for my son to replace his blu r hd but he didnt care for it because the screen is too bright so i sat on it till my phone got stolen and i decided to switch over to this phone my phone service is through att and this phone is not really compatible with what they have going on according to att i need to get a new phone soon because its not going to work after they do some system update is what i was told anyway my biggest issue with it is i cant access any of my apps in the google play store to update them and even though i have automatic update selected it doesnt always work for all the apps one for sure it doesnt work on is google chrome and pinterest but the rest of the apps if you go to the google play store and search them you can update from that screen i also noticed quite a few times the time gets stuck on this like itll say and its actually the only way that i can fix that is to turn it off and turn it back on again the screen is really bright the battery is completely amazing it lasts forever and its durable because ive dropped it way too many times and the only problem i have is the glass protector screen they sent me has a crack in it but not the actual screen also the cameras kind of crappy and the filters dont work,Negative
nope i got this phone two weeks ago used for instead of paying for a new one huge mistake it said it was like new and showed signs of light use which is bs cause it completely sucks the charger it came with wasnt an htc charger it sucked wouldnt stay clicked into phone so if the phone moved at all even the tiniest bit when the charger was inside itd slip out and stop charging you gotta hold it at just the right angle and when you let go it stops charging like usually after a while the chargers get like that but from the start it was already like broken then the battery was terrible took so long for it to charge and within minutes it would drop down id charge my phone all night and wake up in the morning to it one hundred percent so id take it off and within like ten minutes its at okay those problems are annoying but what made me write this review was what happened today omg im so mad so my phone dies completely and turns off cause the battery sucks so i charged it while it was off till it was and go to turn it back on and this stupid white screen pops up that says locked and gives me options like system reboot factory reset lock sim but from the start the phones down button never worked so im using the up button to scroll through the options and in the screen it said power was to select but when id try it wouldnt do anything except stay on that stupid lock screen i had to call virgin mobile and since i couldnt get the msnidi think thats what its called the long barcode that every phone has customer service couldnt do anything for me they were like u can get the number off the box and the seller never sent me the box so theres no way for them to even connect to my phone so they give me htcs number and i had to call and talk to them and after about minutes of being passed around and put on hold a million times they did something to where i thought it was fixed cause the tech dude got my phone to reboot and i thought it was over but sure enough later in the day my phone died again and i got the same lock screen bs but of course after tech support is closed so this phone sucks used i basically threw in the trash do not buy unless youre buying it brand new,Negative
